family,media,concentration,temp_f,temp_c,pvc,pp,pvdf,pfa,ptfe,ss316
Salts / Brines,Acetyl Chloride,,104,40,,G,G,E,E,G
Salts / Brines,Allyl Chloride,,104,40,,,F,E,E,G
Salts / Brines,Aluminum Am. Sulfate,Saturated,104,40,,E,E,E,E,E
Salts / Brines,Aluminum Chloride,Saturated,104,40,E,E,E,E,E,C
Salts / Brines,Aluminum Chloride,Saturated,176,80,,,F,,E,C
Salts / Brines,Aluminum Nitrate,Saturated,104,40,E,E,E,E,E,E
Salts / Brines,Aluminum Nitrate,Saturated,176,80,,E,E,,E,E
Salts / Brines,Aluminum Sulfate,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Aluminum Sulfate,Saturated,176,80,,E,E,,E,F
Salts / Brines,Ammonium Carbonate,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Ammonium Carbonate,Saturated,176,80,,G,E,,E,G
Salts / Brines,Ammonium Chloride,Saturated,104,40,E,E,E,E,E,F
Salts / Brines,Ammonium Chloride,Saturated,176,80,,G,E,,E,F
Salts / Brines,Ammonium Nitrate,,176,80,,,E,,E,E
Salts / Brines,Ammonium Nitrate,,104,40,G,G,E,E,E,E
Salts / Brines,Ammonium Phosphate,,104,40,E,E,E,E,,F
Salts / Brines,Ammonium Sulfate,Saturated,104,40,E,E,E,E,E,A
Salts / Brines,Ammonium Sulfate,Saturated,176,80,,,E,,E,G
Salts / Brines,Amyl Chloride,Pure,104,40,,,E,E,E,E
Salts / Brines,Barium Carbonate,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Barium Carbonate,Saturated,176,80,,E,E,,E,G
Salts / Brines,Barium Chloride,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Barium Nitrate,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Barium Nitrate,Saturated,176,80,,,E,,E,G
Salts / Brines,Barium Sulfate,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Benzyl Chloride,Pure,104,40,,,E,E,E,G
Salts / Brines,Calcium Carbonate,Saturated,176,80,,E,E,,E,G
Salts / Brines,Calcium Carbonate,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Calcium Chloride,Saturated,176,80,,E,E,,E,E
Salts / Brines,Calcium Chloride,Saturated,104,40,E,E,E,E,E,E
Salts / Brines,Calcium Nitrate,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Calcium Nitrate,Saturated,176,80,,,E,,E,C
Salts / Brines,Calcium Sulfate,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Calcium Sulfate,Saturated,176,80,,E,E,,E,G
Salts / Brines,Carbon Tetrachloride,Pure,104,40,C,,E,E,E,G
Salts / Brines,Carbon Tetrachloride,,176,80,,,,,E,F
Salts / Brines,Copper Sulfate,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Copper Sulfate,Saturated,176,80,,E,E,,E,G
Salts / Brines,Ethyl Chloride,,104,40,,C,E,E,E,E
Salts / Brines,Ethyl Chloride,,176,80,,,,E,E,E
Salts / Brines,Ethylene Chloride,,104,40,,C,E,E,E,E
Salts / Brines,Ethylene Dichloride,,104,40,,C,E,E,E,E
Salts / Brines,Ferrous Chloride,,104,40,E,E,E,E,E,F
Salts / Brines,Ferrous Chloride,,176,80,,E,E,,E,F
Salts / Brines,Ferrous Sulfate,,104,40,E,E,E,E,E,G
Salts / Brines,Ferrous Sulfate,,176,80,,E,E,,E,G
Salts / Brines,Hydrogen Fluoride (Anhydrous),,176,80,,,E,,E,E
Salts / Brines,Hydrogen Fluoride (Anhydrous),,104,40,,,E,E,E,E
Salts / Brines,Lithium Chloride,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Lithium Chloride,Saturated,176,80,,E,E,,E,G
Salts / Brines,Magnesium Carbonate,,104,40,E,E,E,E,E,E
Salts / Brines,Magnesium Chloride,Saturated,176,80,,E,E,,E,G
Salts / Brines,Magnesium Chloride,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Magnesium Nitrate,,176,80,,G,E,,E,E
Salts / Brines,Magnesium Nitrate,,104,40,E,E,E,E,E,E
Salts / Brines,Magnesium Sulfate,,104,40,E,E,E,E,E,G
Salts / Brines,Magnesium Sulfate,,176,80,,E,E,,E,G
Salts / Brines,Mercuric Chloride,,176,80,,E,E,,E,C
Salts / Brines,Mercuric Chloride,,104,40,E,E,E,E,E,C
Salts / Brines,Mercurous Nitrate,Saturated,176,80,,,E,,E,F
Salts / Brines,Mercurous Nitrate,Saturated,104,40,,,E,E,E,F
Salts / Brines,Methyl Chloride,,104,40,,,E,E,E,E
Salts / Brines,Methyl Chloride,,176,80,,,,,E,E
Salts / Brines,Methylene Chloride,,104,40,,,G,E,E,G
Salts / Brines,Methylene Chloride,,176,80,,,,,E,G
Salts / Brines,Nickel Chloride,Saturated,104,40,E,E,E,E,E,F
Salts / Brines,Nickel Nitrate,Saturated,176,80,,,E,,E,G
Salts / Brines,Nickel Nitrate,Saturated,104,40,,,E,E,E,E
Salts / Brines,Nickel Sulfate,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Phosphorus Trichloride,Pure,104,40,,,E,E,E,G
Salts / Brines,Potassium Aluminum Sulfate,,104,40,E,E,E,E,,G
Salts / Brines,Potassium Bicarbonate,Saturated,104,40,E,E,E,E,E,E
Salts / Brines,Potassium Bromide,,104,40,E,E,E,E,E,E
Salts / Brines,Potassium Bromide,,176,80,,E,E,,E,E
Salts / Brines,Potassium Carbonate,,104,40,E,E,E,E,E,G
Salts / Brines,Potassium Chloride,,104,40,E,E,E,E,E,G
Salts / Brines,Potassium Iodide,,104,40,E,E,E,E,E,E
Salts / Brines,Potassium Iodide,,176,80,,E,E,,E,E
Salts / Brines,Potassium Nitrate,,176,80,,,E,,E,G
Salts / Brines,Potassium Nitrate,,104,40,E,,E,E,E,G
Salts / Brines,Potassium Sulfate,Pure,104,40,E,E,E,E,E,E
Salts / Brines,Potassium Sulfate,Pure,176,80,,E,E,,E,E
Salts / Brines,Salt Water,Saturated,104,40,E,E,E,E,E,F
Salts / Brines,Salt Water,Saturated,176,80,,E,E,,E,F
Salts / Brines,Silver Nitrate,,104,40,E,E,E,E,E,F
Salts / Brines,Silver Nitrate,,176,80,,E,E,,E,F
Salts / Brines,Sodium Bicarbonate,,104,40,E,E,E,E,E,F
Salts / Brines,Sodium Bicarbonate,,176,80,,E,E,,E,F
Salts / Brines,Sodium Bisulfate,20%,104,40,E,E,E,E,E,E
Salts / Brines,Sodium Bisulfate,20%,176,80,,,,,E,E
Salts / Brines,Sodium Carbonate,,104,40,E,E,E,E,E,E
Salts / Brines,Sodium Carbonate,,176,80,,E,E,,E,E
Salts / Brines,Sodium Chloride,,104,40,E,E,E,E,E,F
Salts / Brines,Sodium Chloride,,176,80,,E,E,,E,F
Salts / Brines,Sodium Fluoride,,104,40,E,E,E,E,E,C
Salts / Brines,Sodium Fluoride,,176,80,,E,E,,E,C
Salts / Brines,Sodium Nitrate,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Sodium Nitrate,Saturated,176,80,,E,E,,E,F
Salts / Brines,Sodium Nitrate,Saturated,104,40,E,E,E,E,E,G
Salts / Brines,Sodium Nitrate,Saturated,176,80,,E,E,,E,F
Salts / Brines,Sodium Phosphate,,104,40,E,E,E,E,E,E
Salts / Brines,Sodium Phosphate,,176,80,,E,E,,E,G
Salts / Brines,Sodium Sulfate,Saturated,176,80,,E,E,,E,E
Salts / Brines,Sodium Sulfate,Saturated,104,40,E,E,E,E,E,E
Salts / Brines,Sodium Thiosulfate,,104,40,E,E,E,E,E,E
Salts / Brines,Stannic Chloride,,104,40,E,E,E,E,E,C
Salts / Brines,Stannic Chloride,,176,80,,G,E,,E,C
Salts / Brines,Stannous Chloride,,104,40,E,E,E,E,E,E
Salts / Brines,Sulfur Chloride,,104,40,,C,E,E,E,G
Salts / Brines,Sulfur Chloride,,176,80,,,E,,E,G
Salts / Brines,Zinc Nitrate,,104,40,E,E,E,E,E,E
Salts / Brines,Zinc Nitrate,,176,80,,E,E,,E,E
Salts / Brines,Zinc Sulfate,,104,40,E,E,E,E,E,F
Salts / Brines,Zinc Sulfate,,176,80,,E,E,,E,F
Acids,Acetic Acid,80%,176,80,,F,C,E,E,G
Acids,Acetic Acid,80%,104,40,G,F,G,E,E,E
Acids,Acetic Acid,50%,176,80,,F,G,E,E,E
Acids,Acetic Acid,50%,104,40,G,F,E,E,E,E
Acids,Acetic Acid,20%,176,80,,,G,E,E,E
Acids,Acetic Acid,20%,104,40,G,G,E,E,E,E
Acids,Acetic Acid,10%,176,80,,,G,E,E,E
Acids,Acetic Acid,10%,104,40,E,E,E,E,E,E
Acids,Acetic Anhydride,Pure,176,80,,F,F,E,E,G
Acids,Acetic Anhydride,Pure,104,40,,F,F,E,E,G
Acids,Adipic Acid (Aqueous),Saturated,176,80,,G,E,E,E,E
Acids,Adipic Acid (Aqueous),Saturated,104,40,E,E,E,E,E,E
Acids,Arsenic Acid,,104,40,G,G,E,E,E,E
Acids,Arsenic Acid,,176,80,,,E,,E,G
Acids,Benzene Sulfonic Acid,,104,40,,,G,E,E,G
Acids,Benzene Sulfonic Acid,,176,80,,,C,,E,G
Acids,Benzoic Acid,Pure,104,40,E,G,E,E,E,G
Acids,Benzoic Acid,Pure,176,80,,C,E,,E,G
Acids,Boric Acid,Saturated,104,40,E,E,E,E,E,E
Acids,Boric Acid,Saturated,176,80,,E,E,,E,E
Acids,Carbonic Acid,,176,80,,G,E,,E,E
Acids,Carbonic Acid,,104,40,E,E,E,E,E,E
Acids,Chloric Acid,20%,104,40,E,E,E,,E,C
Acids,Chloric Acid,20%,176,80,,,E,,E,C
Acids,Chloro Sulfonic Acid,Pure,104,40,,,C,E,E,F
Acids,Chloro Sulfonic Acid,Pure,176,80,,,,,E,C
Acids,Chromic Acid,50%,176,80,,,F,,E,C
Acids,Chromic Acid,50%,104,40,C,,E,,E,C
Acids,Chromic Acid,40%,176,80,,,E,,E,C
Acids,Chromic Acid,40%,104,40,F,,E,,E,C
Acids,Chromic Acid,20%,176,80,,,E,,E,C
