chemical,flammable,specific_gravity,cpvc,glass_filled_pp,pvdf,ryton_pps,etfe,ptfe,ss316,hastelloy_c276,titanium,carbon,ceramic,silicon_carbide,epdm,fkm,fep
Acetamide,False,1.16,ND,150,75,200,250,500,140,70,ND,480,500,500,140,140,300
"Acetic Acid, 10%",False,1.01,212,212,225,244,250,500,390,257,244,70,500,500,70,NR,300
"Acetic Acid, 20%",False,1.03,176,212,200,244,250,500,300,257,244,70,500,500,70,NR,300
"Acetic Acid, 50%",False,1.06,100,212,200,244,250,500,390,257,244,244,500,500,70,NR,300
"Acetic Acid, 80%",False,1.07,NR,160,175,244,244,450,550,257,244,244,500,500,70,NR,300
"Acetic Acid, Glacial",True,1.05,NR,NR,122,244,244,500,212,257,244,244,500,500,200,NR,300
Acetone,True,0.79,NR,NR,NR,200,200,500,212,248,302,212,500,500,200,NR,300
Acetonitrile (Methylcyanide),True,0.79,NR,NR,125,200,200,500,100,70,ND,400,500,500,70,NR,300
Acetylene,True,0.91,NR,NR,250,200,250,450,140,100,ND,500,500,500,250,200,300
Acrylic Acid (Propenoic Acid),True,1.05,NR,NR,100,70,150,500,190,230,190,480,500,500,NR,NR,300
"Alcohol, Butyl",True,0.81,NR,NR,275,200,300,500,480,200,200,480,500,500,250,250,300
"Alcohol, Butyl, Secondary",True,0.81,NR,NR,275,200,300,500,480,200,200,480,500,500,70,70,300
"Alcohol, Ethyl",True,0.79,NR,NR,280,300,300,500,200,212,200,500,500,500,70,70,300
"Alcohol, Isopropyl",True,0.79,NR,NR,158,200,125,500,140,212,212,500,500,500,176,212,300
"Alcohol, Methyl",True,0.791,NR,NR,257,150,300,500,212,212,200,500,500,500,176,NR,300
"Alcohol, Propyl (Isopropyl Alcohol)",True,0.79,NR,NR,207,200,300,500,70,200,200,500,500,500,200,212,300
Alcohols,True,0.79,NR,NR,275,200,200,480,172,212,200,480,500,500,70,70,300
Aluminum Acetate,False,,70,100,285,ND,ND,480,160,250,70,480,500,500,176,NR,70
"Aluminum Chloride, 1%",False,1.01,180,250,289,200,300,500,70,352,212,480,500,500,212,212,300
"Aluminum Chloride, 5%",False,1.04,180,250,289,200,300,500,NR,352,212,480,500,500,212,212,300
"Aluminum Chloride, 20%",False,1.2,180,250,289,200,300,500,NR,352,212,480,500,500,212,212,300
"Aluminum Chloride, 40%",False,1.34,120,250,289,200,300,500,NR,352,ND,480,500,500,212,212,300
"Aluminum Chloride, 100%",False,,120,250,289,200,300,500,NR,340,212,480,500,500,212,212,300
Aluminum Potassium Sulfate (Alum),False,,225,225,285,70,300,500,480,175,392,500,500,500,212,212,300
